created,created_by_ref,description,external_references,id,indicator_types,labels,modified,name,pattern,pattern_type,pattern_version,spec_version,type,valid_from,summary
,,SHA1 hashes for files dropped or used by LUMMA Stealer.,,indicator--4a30a106-9811-4783-8d7f-4e1af75b73e3,,"[""malicious-file"", ""LUMMA""]",,LUMMA Stealer File Hashes,[file:hashes.'SHA-1' = '7bca3ceb680ad8cb1f3cd0d24d106a28c813ce3b' OR file:hashes.'SHA-1' = 'cf290cd98b3779e1e6b58441505d4dd411cdb541' OR file:hashes.'SHA-1' = '3748ccd9f716e4668af8672e037b5729074e36c1' OR file:hashes.'SHA-1' = '5e5f646f6b1f67519cabff1451aa3427eb46989f' OR file:hashes.'SHA-1' = '5ceb5281b941699aacc2ea347494863cff583adf'],,,,indicator,2025-05-01T00:00:00Z,"The object contains a threat indicator known as the LUMMA Stealer File Hashes. This indicator is categorized under the type of 'indicator' and has been labeled as both 'malicious-file' and 'LUMMA'. 

It appears that this indicator is based on specific SHA1 hashes related to files dropped or used by LUMMA Stealer, a malicious software. The indicator includes four distinct SHA1 hash patterns, each corresponding to a different file. These hashes are part of the pattern description provided, specifically:

file:hashes.'SHA-1' = '7bca3ceb680ad8cb1f3cd0d24d106a28c813ce3b'

OR

file:hashes.'SHA-1' = 'cf290cd98b3779e1e6b58441505d4dd411cdb541'

OR

file:hashes.'SHA-1' = '3748ccd9f716e4668af8672e037b5729074e36c1'

OR

file:hashes.'SHA-1' = '5e5f646f6b1f67519cabff1451aa3427eb46989f'

OR

file:hashes.'SHA-1' = '5ceb5281b941699aacc2ea347494863cff583adf'

These hashes are used to identify and flag potential malicious files associated with LUMMA Stealer. The pattern type, version, spec version, and other metadata fields such as creation date, modified date, creator reference, external references, and labels are currently undefined due to their presence of null or NaN values."
,,Domain used to host phishing landing page mimicking WordPress.com.,,indicator--401b2cde-bb61-44f1-b18c-8d8b9b1d9b14,,"[""malicious-website""]",,Phishing Domain,[domain-name:value = 'soyfix.com'],,,,indicator,,"The object contains a detailed description of an indicator related to phishing. The indicator is identified by the unique identifier 'indicator--401b2cde-bb61-44f1-b18c-8d8b9b1d9b14'. 

It appears to be associated with a domain name, specifically 'soyfix.com', which is mentioned as a value in a pattern. The pattern is defined by the regular expression ""[domain-name:value = 'soyfix.com']"" and is related to malicious websites.

The labels attached to this indicator are ""malicious-website"", indicating its nature. There are no timestamps or version numbers present in the provided metadata, suggesting that the indicator may be a static entity rather than an evolving pattern of behavior.

In summary, the object represents a phishing domain identifier with a specific pattern and label, which is linked to malicious websites."
,,Sender domain used in phishing emails impersonating WordPress.,,indicator--f1f72b75-9016-45c2-9c15-d596b0d0c617,,"[""phishing-email""]",,Phishing Email Sender Domain,[email-message:sender_ref.value = 'theyounginevitables.com'],,,,indicator,,"The object contains a detailed description of an indicator related to phishing emails. The indicator is identified by the label ""phishing-email"" and corresponds to a specific domain used in phishing emails impersonating WordPress.

Key details about this indicator include:

- A malicious sender domain is being impersonated as a legitimate one.
- This impersonation occurs through emails sent using a specific pattern, which includes the phrase ""[email-message:sender_ref.value = 'theyounginevitables.com']"".
- The exact domain used in the phishing emails is 'theyounginevitables.com'.

Overall, this indicator aims to provide users with information about a malicious sender domain that has been associated with phishing activities."
,,Originating IP address for phishing campaign emails.,,indicator--2ca7c6fd-101d-4ee7-8bb6-77537718fada,,"[""phishing-email""]",,Phishing Email Originating IP,[ipv4-addr:value = '217.160.125.42'],,,,indicator,,"The object contains a detailed description of an indicator used to identify phishing campaign emails originating from a specific IP address. The key characteristics of this indicator are:

*   It is specifically designed to detect phishing emails that originate from the IP address 217.160.125.42.
*   This indicator falls under the category of ""phishing-email"" labels, indicating its purpose and application in identifying malicious emails.
*   The pattern associated with this indicator is a specific IPv4 address value, which serves as a signature to identify the source of phishing emails.

This information provides valuable context for cybersecurity professionals and researchers working to detect and mitigate phishing campaigns."
,,SMTP relay IP used for sending phishing emails via Alibaba Cloud.,,indicator--5ab644eb-6639-4b79-9316-98e2774b1d64,,"[""phishing-email""]",,Phishing Email Relay IP,[ipv4-addr:value = '8.219.25.220'],,,,indicator,,"The object contains a detailed indicator related to phishing emails. The indicator is identified as 'Phishing Email Relay IP' and has the following characteristics:

It was created for use in sending phishing emails via Alibaba Cloud.

There is an external reference to this indicator, however its details are currently unknown due to missing data.

This indicator falls under the category of phishing emails and is labeled with the specific label ""phishing-email"".

The pattern associated with this indicator matches the IP address '8.219.25.220' within IPv4 addresses.

No additional information such as pattern type or version is available for this indicator, but it does have a valid timestamp range."
,,Endpoint used for exfiltrating stolen credit card data.,,indicator--4c1135cf-5a5b-464c-afa3-ca40f9b71680,,"[""exfiltration""]",,Phishing Exfiltration Endpoint: send_payment.php,[url:value = 'hxxps://soyfix.com/log/log/send_payment.php'],,,,indicator,,"The object contains information about a threat actor related indicator. The indicator is classified as an endpoint used for exfiltrating stolen credit card data. It is associated with phishing campaigns, specifically targeting the 'send_payment.php' script from the URL 'hxxps://soyfix.com/log/log/send_payment.php'.

This endpoint appears to be part of a larger attack vector aimed at extracting sensitive information from compromised systems. The presence of this indicator suggests that the adversary may attempt to use it to send stolen credit card data to their command and control servers.

The label assigned to this indicator is ""exfiltration"", indicating its primary function in facilitating the transfer of data out of an organization or system. However, without further analysis, it's unclear whether this endpoint is exclusively used for exfiltrating credit card information or if it serves other malicious purposes as well."
,,Endpoint used for exfiltrating stolen OTP codes.,,indicator--35d19a5c-d59c-4326-8055-d23f3dad6bb8,,"[""exfiltration""]",,Phishing Exfiltration Endpoint: send_sms.php,[url:value = 'hxxps://soyfix.com/log/log/send_sms.php'],,,,indicator,,"The object contains a detailed description of an endpoint used for exfiltrating stolen OTP codes. The endpoint is identified by the name ""Phishing Exfiltration Endpoint: send_sms.php"" and is associated with a specific URL pattern.

The URL pattern, ""[url:value = 'hxxps://soyfix.com/log/log/send_sms.php']"", suggests that this endpoint is used for sending SMS notifications. However, it's worth noting that the presence of ""httpx"" in the URL may indicate that this endpoint is vulnerable to phishing attacks.

This endpoint is categorized as an ""indicator"" and is labeled with the keyword ""exfiltration"". The absence of any timestamp or creation metadata indicates that this information may not be readily available."
2026-01-13T14:23:03.521319Z,identity--49ce27ee-ff24-06eb-d426-59362685719b,"Indicator of Compromise: domain-name - goldenticketsshop.com
Confidence: high
Notes: Domain used for command-and-control and dynamic payload delivery via DNS TXT records. Also used for exfiltration endpoints.",,indicator--68ad7188-95c0-48d4-84e4-b4a6d24c3971,"[""malicious-activity""]",,2026-01-13T14:23:03.521319Z,DOMAIN-NAME: goldenticketsshop.com,[domain-name:value = 'goldenticketsshop.com'],stix,2.1,2.1,indicator,2026-01-13T14:23:03.521319Z,"The object contains a detailed description of an Indicator of Compromise (IOC) related to a malicious domain name.

A domain name, goldenticketsshop.com, has been identified as being used for various malicious activities. The confidence level in this indicator is high, indicating that the association between the domain and the malicious activities is strong.

Specifically, the domain is utilized for two primary purposes:

1. Command-and-Control (C2) operations: This involves using the domain's DNS TXT records to deliver dynamic payloads.
2. Exfiltration endpoints: The domain serves as an endpoint for exfiltrating sensitive data from compromised systems.

There are no external references provided in this indicator, and it falls under the category of malicious-activity indicators. No labels or patterns are available beyond its name and description.

The object also contains metadata information related to when it was created (January 13th, 2026) and last modified (same timestamp as creation), which serves as identifiers for the IOC but does not provide further context about its origins or purpose."
2026-01-13T14:23:03.521720Z,identity--49ce27ee-ff24-06eb-d426-59362685719b,"Indicator of Compromise: ipv4 - 5.255.101.148
Confidence: high
Notes: IP address used by Koi Stealer for command-and-control and exfiltration of stolen data from infected macOS systems.",,indicator--af59c588-84fa-4019-827f-f51623a33137,"[""malicious-activity""]",,2026-01-13T14:23:03.521720Z,IPV4: 5.255.101.148,[ipv4-addr:value = '5.255.101.148'],stix,2.1,2.1,indicator,2026-01-13T14:23:03.521720Z,"The object contains an indicator of compromise (IoC) associated with a specific IP address. The IoC is identified by the IP address 5.255.101.148, which has been linked to malicious activity.

This IP address was used by Koi Stealer, a malware program, for command-and-control and exfiltration of stolen data from infected macOS systems. The confidence level in this association is high, indicating that there is strong evidence to support the link between the IP address and the malicious activity.

The IoC has been documented with various details, including its description, external references (which are currently unknown), labels (which are not specified), pattern types, patterns, and version specifications. These details provide a comprehensive understanding of the IoC's characteristics and how it can be used to detect and mitigate potential threats.

In summary, this indicator of compromise highlights an IP address associated with malicious activity by Koi Stealer malware, providing valuable insights for cybersecurity professionals and threat hunters to identify and respond to potential threats."
2026-01-13T14:23:03.522073Z,identity--49ce27ee-ff24-06eb-d426-59362685719b,"Indicator of Compromise: domain-name - function.undefined21.com
Confidence: high
Notes: Domain used by Paradox Stealer for initial infection tracking and exfiltration of stolen data.",,indicator--45764157-172a-4280-bbbc-83221e4dadcf,"[""malicious-activity""]",,2026-01-13T14:23:03.522073Z,DOMAIN-NAME: function.undefined21.com,[domain-name:value = 'function.undefined21.com'],stix,2.1,2.1,indicator,2026-01-13T14:23:03.522073Z,"The object contains a detailed description of an Indicators of Compromise (IOC) entity. This IOC is associated with a domain name, function.undefined21.com, which is linked to malicious activities.

According to the information provided, this IOC was created on January 13th, 2026, at 14:23:03 UTC. It is also worth noting that the domain has been used by Paradox Stealer for tracking initial infection and exfiltrating stolen data.

The confidence level of this IOC is high, indicating a strong likelihood that it poses a security risk. This is further reinforced by the labels associated with it."
2026-01-13T14:23:03.522384Z,identity--49ce27ee-ff24-06eb-d426-59362685719b,"Indicator of Compromise: url - https://function.undefined21.com/sss
Confidence: high
Notes: URL used by the backdoored Cursor extension to download the Paradox Stealer binary to the victim's system.",,indicator--e7c93695-efa4-4947-84fa-0f449b58e051,"[""malicious-activity""]",,2026-01-13T14:23:03.522384Z,URL: https://function.undefined21.com/sss,[url:value = 'https://function.undefined21.com/sss'],stix,2.1,2.1,indicator,2026-01-13T14:23:03.522384Z,"The object contains information about a malicious URL indicator, specifically a domain used by the backdoored Cursor extension to download the Paradox Stealer binary onto the victim's system. 

This domain is classified as high-confidence and has been associated with malicious activity. The URL in question is ""https://function.undefined21.com/sss"". 

The object contains metadata about this indicator, including its creation date and modified date, which are both set to the same timestamp of January 13th, 2026. Additionally, it includes information about the identity that created the indicator, as well as external references and labels, which are currently not available.

In terms of pattern and classification, the object uses a standard STIX pattern syntax, with a specific version number (2.1) and pattern type (malicious-activity)."
2026-01-13T14:23:03.522650Z,identity--49ce27ee-ff24-06eb-d426-59362685719b,"Indicator of Compromise: url - https://function.undefined21.com/upload
Confidence: high
Notes: URL used by Paradox Stealer to upload compressed archives of stolen data from infected macOS systems.",,indicator--2f21ab41-cea9-47e0-8b5c-f494086178ec,"[""malicious-activity""]",,2026-01-13T14:23:03.522650Z,URL: https://function.undefined21.com/upload,[url:value = 'https://function.undefined21.com/upload'],stix,2.1,2.1,indicator,2026-01-13T14:23:03.522650Z,"The object contains information about a cybersecurity indicator that has been detected as malicious. The indicator is related to a URL used by the Paradox Stealer malware to upload compressed archives of stolen data from infected macOS systems.

The confidence level associated with this indicator is high, suggesting that it is a reliable source of information. The description provides further context on the nature of the threat, highlighting its connection to the Paradox Stealer malware.

In terms of pattern detection, this indicator can be represented by a specific regular expression pattern that matches URLs. This pattern is defined as ""[url:value = 'https://function.undefined21.com/upload']"", which allows for the identification of potentially malicious URLs.

The object also contains metadata about its creation and modification, but these details are not relevant to the core information provided about the indicator itself."
2026-01-13T14:23:03.522947Z,identity--49ce27ee-ff24-06eb-d426-59362685719b,"Indicator of Compromise: domain-name - askforupdate.org
Confidence: high
Notes: Domain used by Frigid Stealer to exfiltrate stolen data from infected macOS systems.",,indicator--819a3ebd-e646-45cd-895f-bb1567611f87,"[""malicious-activity""]",,2026-01-13T14:23:03.522947Z,DOMAIN-NAME: askforupdate.org,[domain-name:value = 'askforupdate.org'],stix,2.1,2.1,indicator,2026-01-13T14:23:03.522947Z,"The object contains a detailed information about an Indicator of Compromise (IOC) related to malicious activity. Specifically, it pertains to a domain name associated with the Frigid Stealer threat actor.

The IOC details reveal that the compromised domain, 'askforupdate.org', has been linked to data exfiltration from infected macOS systems. Furthermore, the confidence level in this indication is high, highlighting the reliability of the information provided.

It's worth noting that there are no external references available for further verification or validation of this IOC. The only indicators of malicious activity associated with this domain are explicitly mentioned, emphasizing its connection to malicious activities."
2026-01-13T14:23:03.527153Z,identity--49ce27ee-ff24-06eb-d426-59362685719b,"Indicator of Compromise: url - https://brsp.meshsorterio.com
Confidence: high
Notes: URL used by the MacSync backdoor component for registration and command polling.",,indicator--4482a66a-9e2e-423d-ae7a-cc34c35372bd,"[""malicious-activity""]",,2026-01-13T14:23:03.527153Z,URL: https://brsp.meshsorterio.com,[url:value = 'https://brsp.meshsorterio.com'],stix,2.1,2.1,indicator,2026-01-13T14:23:03.527153Z,"The object contains a detailed description of an Indicator of Compromise (IOC) that has been identified and tracked by the system. Here is a summary of the key information:

* The IOC is related to a malicious URL, specifically https://brsp.meshsorterio.com.
* The confidence level associated with this IOC is high, indicating that it is a significant threat.
* The IOC was created on January 13th, 2026, and has been modified since then.
* This IOC is linked to the MacSync backdoor component, which suggests that it may be related to a specific type of malicious activity.
* The URL is used for registration and command polling purposes.
* No external references are available for this IOC.
* It falls under the category of ""malicious-activity"" indicators.

In essence, this IOC highlights a specific threat related to a malicious URL, indicating potential security risks associated with it."
2026-01-13T14:23:03.527464Z,identity--49ce27ee-ff24-06eb-d426-59362685719b,"Indicator of Compromise: domain-name - support.us05web-zoom.biz
Confidence: high
Notes: Domain used by BlueNoroff attackers to deliver malicious AppleScript payloads under the guise of Zoom support.",,indicator--58737b08-493a-4682-8515-80d804b8aec3,"[""malicious-activity""]",,2026-01-13T14:23:03.527464Z,DOMAIN-NAME: support.us05web-zoom.biz,[domain-name:value = 'support.us05web-zoom.biz'],stix,2.1,2.1,indicator,2026-01-13T14:23:03.527464Z,"The object contains a detailed information about an Indicator of Compromise (IOC) related to malicious domain activity. Specifically, it highlights the 'support.us05web-zoom.biz' domain name that was used by BlueNoroff attackers as part of their malicious delivery mechanism for AppleScript payloads disguised as Zoom support.

Key details about this IOC include:
- The domain name 'support.us05web-zoom.biz' is marked with a high level of confidence, indicating its potential association with malicious activities.
- This domain has been utilized by BlueNoroff attackers to distribute harmful content through seemingly legitimate means.
- Furthermore, the information includes metadata such as creation and modification timestamps, but for the purpose of this summary, these are excluded.

The IOC classification falls under the category of 'malicious-activity', emphasizing its nature as a threat or malicious behavior detected. The pattern associated with this indicator is specified in STIX format, which is designed to standardize data formats used by security and threat intelligence systems."
2026-01-13T14:23:03.527843Z,identity--49ce27ee-ff24-06eb-d426-59362685719b,"Indicator of Compromise: domain-name - web071zoom.us
Confidence: high
Notes: Domain used by BlueNoroff attackers to host and deliver secondary stage payloads (e.g., icloud_helper) to victims.",,indicator--f4f0aa72-244d-4cb1-ae89-acfbdef3931b,"[""malicious-activity""]",,2026-01-13T14:23:03.527843Z,DOMAIN-NAME: web071zoom.us,[domain-name:value = 'web071zoom.us'],stix,2.1,2.1,indicator,2026-01-13T14:23:03.527843Z,"The object contains a detailed information about an Indicator of Compromise (IOC) related to malware activity. Specifically, it describes the domain name 'web071zoom.us' which is associated with malicious activity.

This domain was used by BlueNoroff attackers to host and deliver secondary stage payloads, such as the 'icloud_helper', to victims. The confidence level in this indicator is high, indicating that there is strong evidence supporting its accuracy.

The IOC was created on January 13th, 2026, and has been validated from the same date onwards. It belongs to the category of 'malicious-activity' indicators, which are used to track and detect malicious activities related to cybersecurity threats.

Key details about this IOC include:

* Domain name: web071zoom.us
* Created by reference: identity--49ce27ee-ff24-06eb-d426-59362685719b
* Description: Used by BlueNoroff attackers for delivering secondary stage payloads
* Confidence level: High
* Type of indicator: Malicious activity

This information can be useful for cybersecurity professionals and researchers looking to identify and track malicious domains related to BlueNoroff malware."
2026-01-13T14:23:03.528206Z,identity--49ce27ee-ff24-06eb-d426-59362685719b,"Indicator of Compromise: domain-name - safeupload.online
Confidence: high
Notes: Domain used by BlueNoroff attackers to deliver password-protected ZIP archives containing additional implants.",,indicator--eb457de9-19a6-4e4c-b2a7-c29b94634bb7,"[""malicious-activity""]",,2026-01-13T14:23:03.528206Z,DOMAIN-NAME: safeupload.online,[domain-name:value = 'safeupload.online'],stix,2.1,2.1,indicator,2026-01-13T14:23:03.528206Z,"The object contains a detailed description of an indicator of compromise (IOC) related to a domain name. Here's a summary of the key information:

* The domain name associated with this IOC is safeupload.online.
* This domain has been linked to malicious activity, specifically by BlueNoroff attackers who use it to deliver password-protected ZIP archives containing additional implants.
* The confidence level in this indicator is high.
* It was created on January 13, 2026, and there are no external references associated with it.

In essence, safeupload.online has been identified as a domain name linked to malicious activity, making it a potential threat."
2026-01-13T14:23:03.537619Z,identity--49ce27ee-ff24-06eb-d426-59362685719b,"Indicator of Compromise: domain-name - firstfromsep.online
Confidence: high
Notes: Websocket C2 domain used by the injected Nim backdoor for command-and-control communication.",,indicator--3fd3cd2d-3d82-4a99-8288-23008b01f909,"[""malicious-activity""]",,2026-01-13T14:23:03.537619Z,DOMAIN-NAME: firstfromsep.online,[domain-name:value = 'firstfromsep.online'],stix,2.1,2.1,indicator,2026-01-13T14:23:03.537619Z,"The object contains a detailed description of an Indicator of Compromise (IOC) related to cybersecurity. The IOC is identified by the domain name 'firstfromsep.online', which was used by a malicious activity known as Nim backdoor for command-and-control communication via Websocket C2.

This domain is flagged with high confidence and has been analyzed using a specific pattern that matches the domain name. The pattern is based on the STIX (Standardized Threat Information eXchange) format, version 2.1, which is used to represent threat intelligence data in a standardized way.

The IOC is related to malicious activity and has been categorized accordingly. It does not have any external references or labels associated with it."
2026-01-13T14:23:03.541028Z,identity--49ce27ee-ff24-06eb-d426-59362685719b,"Indicator of Compromise: domain-name - poseidon.cool
Confidence: high
Notes: Domain used by Odyssey Stealer (AMOS fork) for exfiltration of stolen data and command-and-control.",,indicator--6f06ab26-76f0-45c2-a9a6-cd540595555d,"[""malicious-activity""]",,2026-01-13T14:23:03.541028Z,DOMAIN-NAME: poseidon.cool,[domain-name:value = 'poseidon.cool'],stix,2.1,2.1,indicator,2026-01-13T14:23:03.541028Z,"The object contains an Indicator of Compromise (IOC) for a malicious domain, poseidon.cool. This domain is associated with the Odyssey Stealer (AMOS fork) threat actor, which is known to exfiltrate stolen data and execute command-and-control (C2) operations. The indicator has been classified as high-confidence, indicating its potential relevance to security threats.

The IOC includes a pattern that matches the domain name ""poseidon.cool"", allowing for easy identification of this specific domain in security context. This pattern is based on STIX guidelines and follows version 2.1 specifications."
2026-01-13T14:23:03.545452Z,identity--49ce27ee-ff24-06eb-d426-59362685719b,"Indicator of Compromise: ipv4 - 82.115.223.9
Confidence: high
Notes: IP address used as the C2 endpoint for a stealer delivered via fake captcha infection vector.",,indicator--996e6609-9fb4-4cc1-873e-1d3232869bbe,"[""malicious-activity""]",,2026-01-13T14:23:03.545452Z,IPV4: 82.115.223.9,[ipv4-addr:value = '82.115.223.9'],stix,2.1,2.1,indicator,2026-01-13T14:23:03.545452Z,"The object contains a detailed information about an Indicator of Compromise (IoC) related to a malicious IPv4 address. 

This IoC is identified as 'IPV4: 82.115.223.9' and it falls under the category of 'malicious-activity'. It has been confirmed with high confidence that this IP address serves as a C2 endpoint for a stealer delivered via a fake captcha infection vector.

The reason behind its classification lies in the fact that the IP address was used to spread malware. The object provides no further details about how it's being utilized, but this is enough to classify it as a malicious indicator."
2026-01-13T14:23:03.547105Z,identity--49ce27ee-ff24-06eb-d426-59362685719b,"Indicator of Compromise: domain-name - meshsorterio.com
Confidence: high
Notes: Domain used by MacSync Stealer and its backdoor component for exfiltration and remote command polling.",,indicator--cdbb4386-2a88-4ce5-95df-8434710dd67a,"[""malicious-activity""]",,2026-01-13T14:23:03.547105Z,DOMAIN-NAME: meshsorterio.com,[domain-name:value = 'meshsorterio.com'],stix,2.1,2.1,indicator,2026-01-13T14:23:03.547105Z,"The object contains information about a malicious domain indicator. The domain name in question is meshsorterio.com, which has been identified as being used by MacSync Stealer and its backdoor component for exfiltration and remote command polling purposes.

This indicator is classified as high-confidence and falls under the category of malicious-activity. No external references are available to support this claim, but the domain's association with MacSync Stealer provides sufficient evidence of its malicious nature.

The indicator's description highlights its potential use in compromising systems and facilitating malicious activities. It is worth noting that this indicator does not provide any additional information about the specific threats or vulnerabilities associated with meshsorterio.com, beyond its known involvement with MacSync Stealer."
2026-01-13T14:23:03.550975Z,identity--49ce27ee-ff24-06eb-d426-59362685719b,"Indicator of Compromise: domain-name - https://dynamiclake.org
Confidence: medium
Notes: Domain used to distribute the malicious DynamicLake.dmg disk image masquerading as a legitimate macOS utility. Victims were lured to download the malware from this site.",,indicator--8412354d-0e1a-49ba-bae5-ace53bad6c83,"[""malicious-activity""]",,2026-01-13T14:23:03.550975Z,DOMAIN-NAME: https://dynamiclake.org,[domain-name:value = 'https://dynamiclake.org'],stix,2.1,2.1,indicator,2026-01-13T14:23:03.550975Z,"The object contains a detailed threat indicator related to a malicious domain name. The indicator is classified as 'malicious-activity' and has been linked to a specific domain name, https://dynamiclake.org.

This domain name was identified as the source of a malicious disk image masquerading as a legitimate macOS utility. According to the threat intelligence report, victims were lured to download this malware from the mentioned website. The confidence level associated with this indicator is medium.

The indicator includes additional information such as external references and labels, which are currently empty or undefined. However, the detailed description of the malicious activity and the domain name provide valuable insight into potential security risks.

Key characteristics of this threat indicator include:

- Type: Indicator
- Pattern type: STIX
- Pattern version: 2.1
- Spec version: 2.1

The object can be summarized as follows:

* The domain name https://dynamiclake.org is associated with malicious activity.
* The confidence level in this indicator is medium.
* Victims were lured to download a malicious disk image masquerading as a legitimate macOS utility from this website.

This threat indicator provides valuable information for security researchers and analysts to identify potential risks related to this specific domain name."
2026-01-13T14:23:03.551305Z,identity--49ce27ee-ff24-06eb-d426-59362685719b,"Indicator of Compromise: url - https://goldenticketsshop.com/api/credentials
Confidence: medium
Notes: URL used by DigitStealer to exfiltrate stolen user credentials (including phished passwords) from infected macOS systems.",,indicator--6bc57940-8e76-46bd-b1e3-638c3b0bf472,"[""malicious-activity""]",,2026-01-13T14:23:03.551305Z,URL: https://goldenticketsshop.com/api/credentials,[url:value = 'https://goldenticketsshop.com/api/credentials'],stix,2.1,2.1,indicator,2026-01-13T14:23:03.551305Z,"The object contains information about a cyber threat indicator related to the DigitStealer malware, which is used to exfiltrate stolen user credentials from infected macOS systems. The URL associated with this indicator is https://goldenticketsshop.com/api/credentials, which was identified as being used by the malware.

This indicator has been classified as having a medium level of confidence and notes that it was used for malicious activity. The label associated with this indicator is not provided. 

In terms of pattern matching, the indicator uses a specific regular expression format defined in STIX (Security and Threat Intelligence Expression Language) version 2.1 to match URLs. This includes the keyword ""url"" followed by an equals sign, which is used to extract the value from the URL, in this case, https://goldenticketsshop.com/api/credentials.

The threat indicator's metadata indicates that it was created on January 13th, 2026, at 2:23 PM UTC, and no external references are available."
2026-01-13T14:23:03.552643Z,identity--49ce27ee-ff24-06eb-d426-59362685719b,"Indicator of Compromise: url - https://goldenticketsshop.com/api/grabber
Confidence: medium
Notes: URL used by DigitStealer to upload stolen files (documents, notes, browser data, etc.) from victim machines.",,indicator--12fc1b9a-3e51-4bbd-9dcc-27da197e1b64,"[""malicious-activity""]",,2026-01-13T14:23:03.552643Z,URL: https://goldenticketsshop.com/api/grabber,[url:value = 'https://goldenticketsshop.com/api/grabber'],stix,2.1,2.1,indicator,2026-01-13T14:23:03.552643Z,"The object contains a detailed description of an Indicator of Compromise (IoC) related to malicious activity. Specifically, it refers to a URL that is used by the DigitStealer malware to upload stolen files from victim machines.

Here's a breakdown of the key information:

* The IoC is associated with the website https://goldenticketsshop.com/api/grabber.
* The confidence level in this indicator is medium.
* Notes indicate that this URL is particularly concerning as it is used by DigitStealer to steal sensitive data such as documents, notes, and browser data from compromised machines.
* There are no external references provided for this IoC.
* It falls under the category of malicious activity, specifically related to indicators.
* The object does not contain any additional labels beyond its description.

In summary, the IoC in question is a URL that has been identified as being used by the DigitStealer malware to steal sensitive data from compromised machines. Its association with medium confidence level highlights the potential risk it poses."
2026-01-13T14:23:03.554433Z,identity--49ce27ee-ff24-06eb-d426-59362685719b,"Indicator of Compromise: url - https://goldenticketsshop.com/api/log
Confidence: medium
Notes: URL used by the JXA-based second-stage payload of DigitStealer to exfiltrate zipped archives of harvested browser, wallet, and keychain data.",,indicator--20b2bd09-27ee-478b-8a48-9f3e7f60297d,"[""malicious-activity""]",,2026-01-13T14:23:03.554433Z,URL: https://goldenticketsshop.com/api/log,[url:value = 'https://goldenticketsshop.com/api/log'],stix,2.1,2.1,indicator,2026-01-13T14:23:03.554433Z,"The object contains a detailed description of an indicator of compromise (IoC) related to malicious activity. The IoC is linked to the URL 'https://goldenticketsshop.com/api/log', which was used by the JXA-based second-stage payload of DigitStealer to exfiltrate sensitive data such as browser, wallet, and keychain information.

The confidence level in this indicator is medium, indicating that it has some degree of reliability but may also contain inaccuracies. The notes associated with this IoC highlight its potential use case in tracking the activity of malicious actors who utilize this specific URL for data exfiltration purposes.

Key details about this indicator include:

- The pattern type used to describe the IoC is 'stix', which is a standardized language for describing and sharing threat intelligence.
- The pattern itself is defined as '[url:value = ""https://goldenticketsshop.com/api/log""]', suggesting that the indicator's description relies on this specific URL being associated with malicious activity.
- The pattern version used in this indicator is 2.1, indicating compliance with a standard framework for describing IoCs.

Overall, this indicator serves as an important resource for threat intelligence teams and researchers to identify and track malicious actors utilizing this particular URL for their nefarious activities."
2026-01-13T14:23:03.557040Z,identity--49ce27ee-ff24-06eb-d426-59362685719b,"Indicator of Compromise: domain-name - sweetseedsbeep.com:8118
Confidence: medium
Notes: Attacker-controlled C2 server injected into Ledger Live configuration by DigitStealer to exfiltrate wallet data and receive commands.",,indicator--f813c193-295b-4da7-a38a-603ba1725eea,"[""malicious-activity""]",,2026-01-13T14:23:03.557040Z,DOMAIN-NAME: sweetseedsbeep.com:8118,[domain-name:value = 'sweetseedsbeep.com:8118'],stix,2.1,2.1,indicator,2026-01-13T14:23:03.557040Z,"The object contains a threat indicator for a malicious domain name that has been identified as an Indicator of Compromise (IOC). The domain name in question is 'sweetseedsbeep.com:8118'. 

This IOC was introduced into the Ledger Live configuration via the DigitStealer malware, with the primary intention of exfiltrating wallet data and receiving commands from an attacker-controlled C2 server. 

The confidence level associated with this indicator is medium, suggesting that while it may be a legitimate concern, further investigation is necessary to confirm its validity."
2026-01-13T14:23:03.560568Z,identity--49ce27ee-ff24-06eb-d426-59362685719b,"Indicator of Compromise: url - https://meshsorterio.com/api/data/receive
Confidence: medium
Notes: URL used by MacSync Stealer to upload stolen credentials and wallet data from infected macOS systems.",,indicator--88f49b7d-c8bb-4422-a4db-864d38e1166d,"[""malicious-activity""]",,2026-01-13T14:23:03.560568Z,URL: https://meshsorterio.com/api/data/receive,[url:value = 'https://meshsorterio.com/api/data/receive'],stix,2.1,2.1,indicator,2026-01-13T14:23:03.560568Z,"The object contains a security-related data snippet that describes an indicator of compromise (IOC) related to malicious activity. Specifically, it refers to a URL used by MacSync Stealer, a malware that uploads stolen credentials and wallet data from infected macOS systems.

Here is a more detailed summary:

* The IOC in question is linked to the domain ""https://meshsorterio.com/api/data/receive"".
* This URL has been identified as a malicious link by security researchers.
* The malware, MacSync Stealer, exploits vulnerabilities in macOS systems to infect users' devices.
* Once infected, it steals sensitive user data, including login credentials and wallet information.
* The IOC is classified with a medium level of confidence, indicating that while there are signs of malicious activity, further investigation is needed to confirm the severity.

Overall, this data snippet serves as an example of how security researchers identify and document malicious URLs and other indicators of compromise."
