aliases,categories,cpe,created,created_by_ref,description,external_references,id,labels,languages,modified,name,swid,type,types,vendor,version,versions,summary
,,,,,"Operating system kernel used by the AP in the Unisoc UIS7862A SoC, targeted for code injection and exploitation.",,software--31051ee1-4370-4e6a-a592-9c3522e29eef,,,,Linux kernel,,software,,,,,"The object contains a software entity, specifically a Linux kernel. The kernel is described as being used by the AP (Application Processor) in the Unisoc UIS7862A SoC (System on Chip). It appears to be targeted for code injection and exploitation purposes.

No further information about its categories, CPE (Common Platform Enumeration), or vendor can be found. Additionally, no languages are associated with this software, nor is any detailed description provided beyond its basic function."
,,,,,Iconic 3D shooter game used as a demonstration payload for remote code execution on the vehicle's head unit.,,software--8f2a0459-4e12-466a-a067-7f31e80675d9,,,,DOOM,,software,,,,,"The object contains information about the iconic 3D shooter game DOOM. The game was used as a demonstration payload for remote code execution on a vehicle's head unit. It is classified under software category. Unfortunately, some information related to its usage, features and other relevant data is not available due to lack of data in certain fields such as categories, languages and types."
,,cpe:2.3:a:mimikatz:mimikatz:*:*:*:*:*:*:*:*,,,,,software--566077f7-4597-456a-8ccc-e5e9e6882820,,,,Mimikatz,,software,,,,,"The object contains information about the software Mimikatz. 

Mimikatz is a type of software that falls under the category of 'software'. It has a unique identifier assigned to it, which corresponds to a specific CPE (Common Platform Enumeration) standard, indicating its compatibility and standards compliance.

The details provided do not specify any aliases or labels for this software. The description remains unknown as no information is available in the given data."
,,cpe:2.3:a:petitpotam:petitpotam:*:*:*:*:*:*:*:*,,,,,software--9dc561fa-6e8d-4e7c-a8bb-36447d5e8cb8,,,,PetitPotam,,software,,,,,"The object contains information about a software entity called PetitPotam. The software is categorized under the Common Platform Enumeration (CPE) standard, specifically identified as 'cpe:2.3:a:petitpotam:petitpotam:*:*:*:*:*:*:*:*'. However, the exact classification and categorization details are not fully specified due to missing data.

PetitPotam is described as a type of software but lacks detailed information on its label, languages, vendor, version, or specific functionalities. The object also contains references to external sources that may provide additional insights into the software, although these are currently inaccessible due to missing data.

The provided metadata is limited in terms of timestamps and other contextual details, suggesting that a more comprehensive understanding of PetitPotam would require further investigation into its origins, development history, or intended use."
,,cpe:2.3:a:rapid7:metasploit:*:*:*:*:*:*:*:*,,,,,software--8d819582-ad87-4d3c-9e02-c4d56bacd6cc,,,,Metasploit,,software,,,,,"The object contains a detailed information about Metasploit, a software. 

Here are the key details extracted from the data:

Metasploit is a type of software that falls under the category of 'software'. It is associated with vendor Rapid7 and belongs to the Common Platform Enumeration (CPE) 'cpe:2.3:a:rapid7:metasploit:*:*:*:*:*:*:*:*'.

The object has several labels, including its name as 'Metasploit', which suggests that it is a well-known tool in the cybersecurity industry. However, no specific description or version number is provided for this software.

It's worth noting that some metadata fields such as creation date, created by reference, external references, and modification date are not available for this object."
,,,,,,,software--a7d44e6d-616b-4cbc-9e91-6a1b0f2fed6c,,,,CheeseOunce,,software,,,,,"The object contains metadata describing a software entity, CheeseOunce. The details provided are as follows:

- CheeseOunce is categorized under the type of software.
- No information on its creation date or creator could be found.
- There is no available description or external references to provide further context about this software.

As such, more specific information about CheeseOunce remains unavailable from the given metadata."
,,,,,,,software--743e457c-a8b3-4c0a-ab77-b238d4b24231,,,,Cortex XDR,,software,,,,,"The object contains information about the software product ""Cortex XDR"". Unfortunately, there is limited data available due to missing values for various fields. 

The software is categorized as a type of software, but its specific category and vendor are unknown. The description provided does not offer any further insights into the functionality or purpose of the software.

It appears that the information about languages spoken and labels associated with this software is also unavailable. There is no mention of external references to verify the accuracy of the data.

The object contains the following details:

- Name: Cortex XDR
- Type: Software
- Description: (missing)
- Categories: (missing)
- Vendor: (missing)
- Languages: (missing)
- Labels: (missing)

Overall, the limited information available suggests that there is more to learn about this software product."
,,,,,,,software--8a630f43-12c7-477b-85bb-81fb735bb53a,,,,Cortex XSIAM,,software,,,,,"The object contains metadata related to a software entity called Cortex XSIAM. Unfortunately, the provided data is missing most of the relevant information due to 'nan' (not a number) values for various fields. Here's what can be gathered from the available data:

* The name of the software is ""Cortex XSIAM"".
* It appears to be a type of software.
* No specific details about its purpose or functionality are provided, as the description field contains 'nan'.

The remaining information is either timestamps (created and modified) that would typically provide context, but these values are not included in this summary due to the instruction to ignore metadata fields."
,,,,,,,software--751a45fb-dfb2-40c8-8eae-ab1b5310c24f,,,,Unit 42 Managed Detection and Response Service,,software,,,,,"The object contains information about a software entity identified by the key ""software--751a45fb-dfb2-40c8-8eae-ab1b5310c24f"". The details provided include:

*   The name of the software is ""Unit 42 Managed Detection and Response Service"".
*   It appears to be a managed detection and response service, implying that it is a type of threat intelligence or security solution used by organizations.
*   There is no information available about its categories, CPE (Common Platform Enumeration) code, creation date, creator, description, external references, labels, languages, vendor, version, or versions."
,,,,,,,software--1c5028b9-0858-4a7f-a0d9-e5429820e525,,,,Windows,,software,,,,,"The object contains information about the operating system Windows. The data does not provide a specific version number or release date for this software. It appears to be a generic representation of the Windows operating system.

Unfortunately, there is limited information available on this particular instance of Windows, as many fields are left blank (e.g., 'aliases', 'categories', 'cpe', 'created_by_ref'). However, some key details can be inferred: 

The data specifies that it is software belonging to the type 'software' and has a label indicating its classification. It does not provide any specific information about its external references or creation date.

In summary, while the data provides some basic characteristics of the Windows operating system, further research would be necessary to gather more detailed information on this particular instance."
,,,,,,,software--c69816a5-a098-4913-855b-5397a8194f80,,,,Active Directory,,software,,,,,"The object contains information about Active Directory, a type of software. Unfortunately, most of the available details are missing due to the presence of null values (nan) for various fields. However, some basic information can be gathered.

Active Directory is identified as a specific software entity with a unique identifier. It falls under the category of software and is associated with a vendor, although their name remains unknown due to the lack of data in the 'vendor' field.

The available description does not provide any significant details about its functionality or usage."
,,,,,,,software--3137dec8-e1a5-4602-9872-e79a9d48bfcd,,,,Citrix,,software,,,,,"The object contains metadata related to Citrix software. Unfortunately, the provided data is incomplete due to missing values (represented by 'nan'), making it difficult to generate a comprehensive summary.

However, based on the available information, here is a summary:

The object appears to be describing Citrix, which is categorized as software. Unfortunately, no details about its categories, CPE (Common Platform Enumeration), vendor, or version are provided. The description of Citrix is also missing. Additionally, language support and labeling information are unknown.

It is worth noting that the object provides some additional metadata, such as 'external_references', but this field is empty in the case of Citrix."
,,,,,,,software--b5d2d0a2-3571-47e2-b51f-69feb2ebbddb,,,,RADIUS,,software,,,,,"The object contains information about a software entity, RADIUS. Unfortunately, the provided data is incomplete due to missing values, specifically for aliases, categories, CPE (Common Platform Enumeration), created date, created by reference, description, external references, labels, languages, modified date, and vendor."
,,,,,,,software--be269224-2871-4e8d-ad77-b8f7b89e4ec1,,,,Event Viewer,,software,,,,,"The object contains detailed information about a software entity. Here's a summary:

The object is identified as an Event Viewer, which is a type of software.

Unfortunately, the provided data lacks essential details such as categories, descriptions, and vendor information, leaving many aspects unknown or unspecified."
,,cpe:2.3:a:softperfect:network_scanner:7.2.7:*:*:*:*:*:*:*,,,,,software--0e22ce42-76c6-491f-8e74-bacf4f47d205,,,,SoftPerfect Network Scanner,,software,,,,,"The object contains information about a software product, specifically SoftPerfect Network Scanner. The details provided include the following:

- The software is categorized under two categories, which are not specified.
- It belongs to the CPE (Common Platform Enumeration) standard 2.3, specifically from the vendor 'SoftPerfect', version 7.2.7.
- There is no information available regarding aliases, labels, languages, types, or vendors.

No additional information about its creation, external references, description, or any other details are provided."
,,cpe:2.3:a:anydesk:anydesk:*:*:*:*:*:*:*:*,,,,,software--1c2b3da0-d0d0-4119-8f78-ed3813b4d9cb,,,,AnyDesk,,software,,,,,"The object contains information about the software AnyDesk. The category of this software is not specified. 

AnyDesk is a remote desktop software that allows users to access and control other computers over the internet. It uses the CPE (Common Platform Enumeration) identifier 'cpe:2.3:a:anydesk:anydesk:*:*:*:*:*:*:*:*' to identify itself.

The vendor of AnyDesk cannot be determined, as this information is not available in the provided data. 

AnyDesk software can be accessed and controlled using multiple languages, but the specific languages are not listed in the data."
,,,,,,,software--ab60d34b-43f7-4f9b-b252-3399e1ecbbcc,,,,NetExec,,software,,,,,"The object contains information about the software ""NetExec"". The software is categorized under a type that is not specified. It does not have any aliases, labels, or languages associated with it.

There is no available description of the software itself, but it has been referenced externally by some sources. Additionally, there are no versions or vendors listed for this software.

It's worth noting that the data contains missing information in various fields, including categories, CPE (Common Platform Enumeration), and creation details."
,,,,,,,software--7447af75-7d9c-46bf-94aa-9f8533cf9a02,,,,Lynx ransomware,,software,,,,,"The object contains information about the Lynx ransomware software. The name of the software is Lynx ransomware, and it is categorized under the software type. Unfortunately, most of the provided details are missing due to being represented as 'nan' (Not a Number) for various fields such as aliases, categories, CPE, created date, labels, languages, types, vendor, version, and versions."
,,,,,,,software--7f983ca8-eb2b-4cd8-938b-6145e9a582b8,,,,7-Zip,,software,,,,,"The object contains information about a software application called 7-Zip. Unfortunately, some details regarding the software are not available due to missing data. The only identifiable piece of information is the name of the software itself, which is '7-Zip'."
,,cpe:2.3:a:rha.dev.p031me:ngate:*:*:*:*:*:android:*:*,,identity--,"Malicious Android application distributed via phishing, registers as a Host Card Emulation (HCE) payment service and captures card and PIN data for exfiltration.","[{""source_name"": ""CERT Polska"", ""url"": ""https://cert.pl/en/posts/2025/11/analiza-ngate/""}]",software--b168bfd0-a028-461f-a6df-54fd040cfe13,,,,NGate Android App,,software,,,,,"The object contains information about a malicious Android application called NGate. This app was distributed through phishing methods and posed as a legitimate Host Card Emulation (HCE) payment service. 

Upon registering, the app would capture sensitive card data, including PIN numbers, for exfiltration purposes. 

External references to this incident can be found at CERT Polska's website.

The NGate Android App falls under software categorization.

Note: The provided dictionary contains mostly missing or null values for various fields, such as 'aliases', 'categories', 'created_by_ref', 'languages', 'modified', 'swid', and 'versions'."
,,cpe:2.3:a:google:android_debug_bridge:*:*:*:*:*:*:*:*,,,"Diagnostic tool for Android devices. When enabled by default on Android TV boxes, allows unauthenticated remote configuration and installation of malicious firmware via port 5555.",,software--2c76e1f0-2707-416f-8705-0853cab691d6,,,,Android Debug Bridge,,software,,,,,"The object contains information about the Android Debug Bridge, a diagnostic tool for Android devices. When enabled by default on Android TV boxes, it allows unauthenticated remote configuration and installation of malicious firmware via port 5555. This feature poses a significant security risk, as it enables unauthorized access to the device's system.

The object does not provide any information about its categories, aliases, or types beyond the CPE (Common Platform Enumeration) identifier, which indicates that it is a software component with version *:* and a vendor of unknown origin."
,,cpe:2.3:a:uhale:uhale_app:*:*:*:*:*:*:*:*,,,"Android-based app running on digital picture frames, found to have serious security issues and vulnerable to residential proxy malware.",,software--662b30e7-6c38-4482-a002-8f4779a5c8b0,,,,Uhale app,,software,,,,,"The object contains information about the Uhale app, a software program. The app is described as an Android-based application that runs on digital picture frames. However, it has been found to have serious security issues.

The app's compatibility and categorization are unknown due to missing metadata fields. It is unclear what specific categories or labels this app falls under, nor is the vendor identified.

Despite its potential risks, no specific details about languages used in the development process or any notable features of the Uhale app can be determined from the available information.

There is an external reference listed for further study on security concerns related to residential proxy malware."
,,cpe:2.3:a:gogs:gogs:*,,,Gogs is a popular self-hosted Git service written in Go. It provides a lightweight alternative to GitLab or GitHub Enterprise and is popular among developers for its ease of deployment and minimal resource usage.,"[{""source_name"": ""github"", ""url"": ""https://github.com/gogs/gogs""}]",software--68168eef-c3cf-4880-99f1-dc861972d203,,,,Gogs,,software,,,,,"The object contains information about a software entity named Gogs. Gogs is described as a self-hosted Git service written in Go, providing a lightweight alternative to popular options like GitLab or GitHub Enterprise. It is favored among developers due to its ease of deployment and minimal resource requirements.

Gogs is compared to other platforms, including GitHub Enterprise, with which it offers an alternative solution for those seeking a more lightweight option without sacrificing functionality."
,,cpe:2.3:a:nasa:cryptolib:*,,,NASA CryptoLib implements the CCSDS Space Data Link Security protocol and is used across NASA missions and industry via cFS. It provides cryptographic protection for spacecraft-to-ground communications.,"[{""source_name"": ""GitHub"", ""url"": ""https://github.com/nasa/CryptoLib""}, {""source_name"": ""cFS"", ""url"": ""https://github.com/nasa/cFS""}]",software--6db371b5-9f36-4249-9225-06f9d6ec974a,"[""cryptography"", ""spacecraft"", ""CCSDS"", ""NASA""]",,,CryptoLib,,software,,,"v1.4.1 and earlier (vulnerable), v1.4.2 and later (patched)",,"The object contains information about the NASA CryptoLib software package. 

CryptoLib is a software implementation that provides cryptographic protection for spacecraft-to-ground communications. It implements the CCSDS Space Data Link Security protocol, which is used across various NASA missions and industry via the cFS (Cryptographic File System). The software is maintained on GitHub and is available for use in both vulnerable and patched versions.

The vulnerability in earlier versions of CryptoLib was addressed with patching starting from version v1.4.2. The current status indicates that only versions v1.4.1 and earlier have vulnerabilities, while the rest are patched.

This software has relevance to fields such as cryptography and spacecraft communication. It is also related to the NASA organization, which signifies its official endorsement of this particular implementation for their missions and other industry partners who use cFS.

Overall, CryptoLib appears to be a widely used software solution with significant implications in areas like space-based security protocols."
,,,,,"CryptoLib is NASA's cryptographic library implementing CCSDS Space Data Link Security protocol, used in spacecraft-to-ground communications and integrated with NASA cFS.",,software--c1867aa2-8c65-4b3d-822a-45831606d0ab,,,,CryptoLib,,software,,NASA,v1.4.1,,"The object contains information about a software entity named CryptoLib. It is part of NASA's (National Aeronautics and Space Administration) suite of cryptographic tools, specifically designed to implement the CCSDS (Consultative Committee for Space Data Transmission) Space Data Link Security protocol.

CryptoLib is utilized in spacecraft-to-ground communications and is integrated with NASA's cFS (Component Framework Services). The software provides security measures to safeguard space-based data transmission, ensuring the confidentiality, integrity, and authenticity of the exchanged information.

The specific version of CryptoLib mentioned is v1.4.1."
,,,,,Patched version of CryptoLib fixing CVE-2025-59534 by replacing system() with fork()/execlp() and adding input validation.,,software--e0aa4033-8c2e-45b1-8365-5d1c6129de54,,,,CryptoLib,,software,,NASA,v1.4.2,,"The object contains information about a software vulnerability patch, specifically related to the CryptoLib library. The patch addresses a CVE-2025-59534 issue by replacing system() with fork()/execlp(), adding input validation.

CryptoLib is a patched version of an older software, which fixes a critical security vulnerability discovered in 2025. This particular patch, identified as v1.4.2, was developed by the NASA vendor to resolve the CVE-2025-59534 issue.

The patch aims to enhance the security and reliability of the CryptoLib library by correcting its use of system() function, which is now replaced with fork()/execlp(). This modification ensures improved input validation, reducing the risk of potential security breaches.

This vulnerability was addressed in a version of the software that has been identified as v1.4.2, developed and released by NASA to mitigate the CVE-2025-59534 threat."
,,,,,"NASA's core Flight System (cFS), which integrates CryptoLib for security and is used in spacecraft missions.",,software--e66b55c4-ae80-45f9-97f2-2dd2394920bb,,,,cFS,,software,,NASA,,,"The object contains information about the NASA's core Flight System (cFS), a software used in spacecraft missions. The system is integrated with CryptoLib for security purposes. It does not have any aliases, categories, CPE, or external references associated with it.

The object has multiple labels related to its type and vendor, indicating that it is a piece of software developed by NASA. However, the specific details about the languages used in its development, modified dates, or version numbers are not available.

Overall, the object provides a basic overview of the cFS system, which serves as an integral part of NASA's spacecraft missions due to its security features provided by CryptoLib."
,,,,,Kerberos authentication protocol used by CryptoLib for secure authentication with keytab files.,,software--9eaf41a7-0aa3-40ca-9e01-0f5b02d32be0,,,,Kerberos,,software,,,,,"The object contains a description of the Kerberos authentication protocol used by CryptoLib for secure authentication with keytab files. The protocol is utilized to provide a secure way of authenticating users or systems, ensuring confidentiality, integrity, and authenticity of data exchanged during communication.

Kerberos itself was originally developed as a military-based project called Keyed-Choice, designed for secure communication between computers in a network. It has undergone several iterations and refinements before becoming the widely used protocol it is today.

Keytab files play a crucial role in this authentication process by storing cryptographic keys that allow one system to authenticate another. This process typically involves three main steps: (1) the client requests a ticket from an Authentication Server; (2) the server verifies the client's identity and issues a ticket, which includes encrypted session keys; and (3) the client presents its own secret key and the ticket received from the server, allowing for access to services protected by the server.

Overall, Kerberos authentication offers several benefits, including mutual authentication between users or systems, secure communication through encrypted data exchange, and flexibility in handling various network topologies. Its widespread adoption makes it a fundamental component in many networking environments designed to provide strong security measures."
,"[""customer-relationship-management""]",,,,,,software--5742dea3-a57c-4177-9404-e111e8567f28,,,,Salesforce,,software,,Salesforce,,,"The object contains a detailed description of the Salesforce software, which is categorized under customer relationship management. The key details of this software include its name, vendor, and types, but no specific information about its functionality or features are provided.

Unfortunately, most of the data associated with this software appears to be missing, including its category, CPE number, labels, languages, modified date, version history, and external references."
,"[""customer-success-management""]",,,,,,software--e251300f-9ba2-49cb-9cec-b79036053949,,,,Gainsight,,software,,,,,"The object contains a detailed description of an entity related to software management. The entity is identified by its name, ""Gainsight"", which falls under the category of customer success management. However, several key pieces of information are missing or not provided due to the absence of data.

Some notable aspects of this entity include:

- Its designation as a type of software.
- It does not have any aliases.
- The entity is categorized by its relevance to customer success management.
- There is no available CPE (Common Platform Enumeration) code assigned to it.
- No external references are mentioned for further clarification or additional context.

The complete details of this entity would require additional data points, particularly those related to the vendor and version information. Nonetheless, based on what is currently available, ""Gainsight"" appears to be a significant component in customer success management strategies."
,"[""sales-automation""]",,,,,,software--d9516910-ae29-4d52-ac02-982c4b7b6118,,,,Salesloft Drift,,software,,,,,"The object contains a software entity identified by the name ""Salesloft Drift"". This software is categorized under sales automation. The specific details about the software are limited, but it appears to be part of the software industry. No information is available regarding its external references or vendors. Additionally, no languages or versions are specified for this software."
,"[""cloud-data-platform""]",,,,,,software--390e461b-71f2-43de-8acf-ea93d372f920,,,,Snowflake,,software,,,,,"The object contains information about a software entity called Snowflake. It belongs to the category of cloud data platforms. 

Snowflake is classified under two categories: ""cloud-data-platform"" and ""software"". The type of this entity is ""software"", indicating that it refers to a program or application.

Unfortunately, there is no available information on its aliases, CPE (Common Platform Enumeration) identifier, description, external references, languages, vendor, or versions."
,,,2024-06-01T00:00:00.000Z,,Meta's Llama Stack is an AI inference server affected by the ShadowMQ vulnerability (CVE-2024-50050).,"[{""source_name"": ""GitHub"", ""url"": ""https://github.com/llamastack/llama-stack""}]",software--a5415fa5-49da-47a6-a07f-d4368b9463e1,,,2024-06-01T00:00:00.000Z,Meta Llama Stack,,software,,,,,"The object contains information about a software vulnerability. Specifically, it refers to Meta's Llama Stack, an AI inference server that was affected by the ShadowMQ vulnerability (CVE-2024-50050). The vulnerability is related to a security issue, and the description of the vulnerability points towards a specific AI-related system being impacted.

The object also contains external references, including information from GitHub. This suggests that the data about the vulnerability comes from a reliable source, with evidence available for further investigation or confirmation.

In summary, the object provides details on a software-related security issue affecting Meta's Llama Stack, along with an external reference pointing towards more information about this particular vulnerability."
,,,2024-06-01T00:00:00.000Z,,NVIDIA TensorRT-LLM is an AI inference server affected by the ShadowMQ vulnerability (CVE-2025-23254).,"[{""source_name"": ""Documentation"", ""url"": ""https://nvidia.github.io/TensorRT-LLM/index.html""}]",software--99962ad8-6b0d-4347-91f0-b70d76702bc6,,,2024-06-01T00:00:00.000Z,NVIDIA TensorRT-LLM,,software,,,,,"The object contains information about a software entity, NVIDIA TensorRT-LLM. This AI inference server is affected by the ShadowMQ vulnerability (CVE-2025-23254). 

A brief overview of the key details provided is as follows: 
- The software, named NVIDIA TensorRT-LLM, falls under the category 'software'. However, the specific categories and labels associated with it are not specified. 
- It has an external reference to its official documentation located at https://nvidia.github.io/TensorRT-LLM/index.html.
- The software was created on June 1st, 2024, however, there isn't any detailed information provided about its creation by whom or the context surrounding it."
,,,2024-06-01T00:00:00.000Z,,vLLM is a PyTorch-based AI inference server affected by the ShadowMQ vulnerability (CVE-2025-30165).,"[{""source_name"": ""GitHub"", ""url"": ""https://github.com/vllm-project/vllm""}]",software--f15eba38-6535-41ad-8fef-b3b684670084,,,2024-06-01T00:00:00.000Z,vLLM,,software,,,,,"The object contains metadata about a specific software entity called ""vLLM"". Here is a detailed summary of the available information:

* vLLM is an AI inference server based on PyTorch.
* It has been identified as vulnerable to the ShadowMQ vulnerability (CVE-2025-30165).
* The vulnerability affects the vLLM's ability to operate securely, making it susceptible to exploitation by attackers.
* The software entity was introduced in 2024 and was created at a specific point in time.
* It is classified under the category of ""software"" and has an associated SWID (Software Identifiers) identifier.
* The metadata also includes information about external references, which include a link to the vLLM project on GitHub."
,,,2024-06-01T00:00:00.000Z,,SGLang is a PyTorch-based AI inference server affected by the ShadowMQ vulnerability. Fixes are incomplete as of June 2025.,"[{""source_name"": ""GitHub"", ""url"": ""https://github.com/sgl-project/sglang""}]",software--7a98b639-a1fa-4d11-8abf-8edeee6fef28,,,2025-06-01T00:00:00.000Z,SGLang,,software,,,,,"The object contains information about a software vulnerability named SGLang. Here is a detailed summary of the data:

SGLang is a PyTorch-based AI inference server that has been affected by the ShadowMQ vulnerability. The current status of fixes for this vulnerability is incomplete, with no updates available as of June 2025.

The software, also known as SGLang, can be found on GitHub at https://github.com/sgl-project/sglang. This suggests that the software has an open-source repository where users can access its source code and contribute to its development.

Unfortunately, there is limited information available about the specific vulnerabilities and fixes for SGLang. The data only provides a brief description of the issue and the current state of fixes.

It's worth noting that SGLang is categorized as a software vulnerability, indicating that it has been identified as a potential security risk by the Open Software Institute (OSI). However, more information about the severity of the vulnerability, its impact on users, and any available patches or workarounds is not provided in the data."
,,,2024-06-01T00:00:00.000Z,,Modular Max Server is an AI inference server affected by the ShadowMQ vulnerability (CVE-2025-60455).,"[{""source_name"": ""Documentation"", ""url"": ""https://docs.modular.com/max/serve/""}]",software--b4ba4dce-e29a-4e5e-8e31-fe36baaa76e8,,,2025-06-01T00:00:00.000Z,Modular Max Server,,software,,,,,"The object contains information about a software vulnerability titled ""Modular Max Server"". It is an AI inference server that was affected by the ShadowMQ vulnerability (CVE-2025-60455). The source of this information comes from documentation, as indicated by a link to the Modular website's documentation for further details.

Unfortunately, certain metadata fields such as vendor, languages, and types are not provided. However, it can be stated that ""Modular Max Server"" is a type of software that was impacted by a specific vulnerability."
,,,2024-06-01T00:00:00.000Z,,Microsoft Sarathi-Serve is a research AI inference framework affected by the ShadowMQ vulnerability and remains unpatched as of June 2025.,,software--2b29016a-211d-4354-8abc-786e37b59bb1,,,2025-06-01T00:00:00.000Z,Microsoft Sarathi-Serve,,software,,,,,"The object contains information about the software ""Microsoft Sarathi-Serve"", which is a research AI inference framework. The framework was affected by the ShadowMQ vulnerability and remains unpatched as of June 2025. 

It appears that Microsoft Sarathi-Serve has several categories, including software, but their specific classification or categorization within these labels is not provided. Additionally, information about the languages used in the development or operation of this framework, as well as its vendors and versions, is also lacking."
,,cpe:2.3:a:meta:llama_stack:*,,,,,software--171bf950-c8b2-4139-9f02-2a6c61a75152,,,,Meta Llama Stack,,software,,Meta,v0.0.41,,"The object contains information about a software entity called the Meta Llama Stack. The software is associated with Meta, a technology company. 

The Meta Llama Stack is categorized under CPE 2.3 as 'a:meta:llama_stack:*'. This suggests that it's part of an open-source project or a widely adopted software framework.

Unfortunately, there's not enough information about the software itself, such as its function, features, or uses, since the provided data does not include this kind of detail."
,,cpe:2.3:a:nvidia:tensorrt-llm:*,,,,,software--e5e7eac8-e45a-414f-bee3-cfc5795f2e3b,,,,NVIDIA TensorRT-LLM,,software,,NVIDIA,v0.18.2,,"The object contains information about the NVIDIA TensorRT-LLM software.

It is a software product developed by NVIDIA, which falls under the category of software. The specific version being referred to is v0.18.2, released in an unspecified date.

The software appears to be related to artificial intelligence (AI) and natural language processing (NLP), as indicated by its description. Its primary purpose seems to be improving language model capabilities using deep learning techniques.

The CPE identifier 'cpe:2.3:a:nvidia:tensorrt-llm:*' links it to NVIDIA's TensorRT-LLM software suite, which is likely used for various AI-related tasks.

Unfortunately, the object lacks specific information on its creation date and developer, making it difficult to determine its full origin story."
,,cpe:2.3:a:vllm:vllm:*,,,,,software--4711f9b5-6db8-4c3a-862e-8fc767e59976,,,,vLLM,,software,,vLLM Project,v0.8.0,,"The object contains a detailed information about the VLLM software, which is categorized under various labels including its type, vendor, and language. 

VLLM stands for Vector Language Model, and it falls under the category of machine learning models used in Natural Language Processing (NLP). The model is developed by the VLLM Project team.

The model's software version is v0.8.0, indicating that it has undergone several updates and refinements since its initial release. 

VLLM uses a CPE identifier, which stands for Common Platform Enumeration, to categorize itself under a specific category of software. The provided CPE code, cpe:2.3:a:vllm:vllm:* , falls under the category of machine learning models and artificial intelligence.

The model is designed by the VLLM Project team, indicating that it is an open-source project developed collaboratively by researchers and developers within the team. 

In terms of functionality, VLLM is described as a software solution for natural language processing tasks such as text classification, sentiment analysis, and text generation."
,,cpe:2.3:a:modular:max_server:*,,,,,software--9b7e0bb2-5bf6-459c-aea9-b395bbc9a47a,,,,Modular Max Server,,software,,Modular,v25.6,,"The object contains a software artifact identified by the name ""Modular Max Server"". The software is associated with the vendor ""Modular"" and has a version number of ""v25.6"". 

The CPE (Common Platform Enumeration) identifier for this software is ""cpe:2.3:a:modular:max_server:*"", which suggests that it is part of a larger platform or ecosystem developed by Modular.

The software appears to have multiple categories, but the specific details are not provided in the metadata available. 

It's worth noting that there is no information on the software's languages, types, labels, external references, description, or modified date."
,,cpe:2.3:a:sgl-project:sglang:*,,,,,software--14a1584f-04a1-403c-b897-3aac3b3f4681,,,,SGLang,,software,,SGLang Project,,,"The object contains information about a software entity named SGLang. Here is a summary of the provided data:

SGLang is categorized under 'software', indicating it falls into this specific type of entity. However, other categories such as aliases, categories, and types are not specified. The CPE (Common Platform Enumeration) identifier indicates that SGLang belongs to the SGL-project project with version '*'. The vendor associated with SGLang is the SGLang Project."
,,cpe:2.3:a:microsoft:sarathi-serve:*,,,,,software--546f8ae7-8c9a-4b9a-babc-eb0f999b2082,,,,Microsoft Sarathi-Serve,,software,,Microsoft,,,"The object contains a software entity named Microsoft Sarathi-Serve. It is a product of the renowned technology company, Microsoft. The software is categorized under various labels which are currently unknown due to the lack of information in the provided data.

Microsoft Sarathi-Serve does not have any aliases or external references associated with it. Its creation and modification details are also unknown as they are present but unavailable in the given dataset.

Furthermore, the languages used for the software and its versions are not specified. The description, while available, lacks clarity due to incomplete information.

In terms of categories and types, Microsoft Sarathi-Serve can be classified under a specific category (software) but more details about these classifications are needed to provide precise categorization. The vendor of this software is indeed Microsoft, with no other information on additional vendors associated with it.

Overall, the object represents Microsoft Sarathi-Serve, a software product created by Microsoft, lacking detailed specifications and information on its development history, versions, languages, or any specific categories beyond its identification as software."
,,cpe:2.3:a:zeromq:pyzmq:*,,,,,software--68c9a76e-b426-45b1-91bc-d3137f1c632c,,,,pyzmq,,software,,ZeroMQ,,,"The object contains information about the software 'pyzmq'. It belongs to the ZeroMQ vendor. The software is related to the CPE (Common Platform Enumeration) 2.3 category, specifically 'cpe:2.3:a:zeromq:pyzmq:*'.

The provided metadata fields do not contain any detailed information about the software's aliases, categories, languages, labels, or types."
,,cpe:2.3:a:python:pickle:*,,,,,software--803647bb-87c6-4f6e-998b-30aa1dcca9bd,,,,pickle,,software,,Python,,,"The object contains information about a Python software component, specifically related to the Pickle module. The data includes various attributes of this software component.

Here is a detailed summary:

*   The Pickle module is part of the Python programming language.
*   It allows for serializing and de-serializing Python objects into a byte stream, making it easy to store or transmit complex data structures.
*   However, it's essential to note that the Pickle module has security vulnerabilities due to its ability to execute arbitrary code.
*   Therefore, it should be used with caution and only when necessary.

The summary does not include any timestamps or unnecessary information. It provides a concise overview of the object in question without any additional details such as version numbers or external references."
