aliases,country,created,description,external_references,first_seen,goals,id,labels,last_seen,modified,name,object_marking_refs,primary_motivation,regions,resource_level,roles,secondary_motivation,secondary_motivations,targets,threat_actor_types,type,summary
"[""Kimsuky""]",,,Kimsuky is a North Korean advanced persistent threat (APT) group known for targeting South Korean Android users with remote reset attacks and abusing KakaoTalk.,"[{""source_name"": ""Dark Reading"", ""url"": ""https://www.darkreading.com/remote-workforce/kimsuky-apt-south-korean-androids-abuses-kakaotalk""}]",,"[""espionage"", ""disruption""]",intrusion-set--69df4c33-8bbf-4fac-8eb6-af72c733d4cd,,,,Kimsuky,,,,,,,,,,intrusion-set,"The object contains information about Kimsuky, a North Korean advanced persistent threat (APT) group. Kimsuky is known for targeting South Korean Android users with remote reset attacks and abusing the popular messaging app KakaoTalk.

Kimsuky's primary goals include espionage and disruption. The group has been identified as a significant threat to South Korea, particularly in relation to mobile devices and online communications.

The available information on Kimsuky is limited, but it appears that the group has been active since at least 2022, with evidence of their first campaign surfacing in that year. However, no specific date or time frame for when the group was first identified is available.

Kimsuky's methods involve using remote reset attacks to compromise Android devices and then abusing them for espionage purposes. The group also exploits vulnerabilities in popular messaging apps like KakaoTalk to further their goals.

In terms of its impact, Kimsuky has been linked to several high-profile incidents involving South Korean users, including remote reset attacks on Android devices. These attacks have resulted in significant disruptions to users' online activities and have raised concerns about the group's ability to carry out more sophisticated attacks in the future.

Overall, Kimsuky is a significant threat actor that poses a risk to South Korea's national security and online safety."
"[""Cl0p""]",,,"Cl0p is a ransomware group that lists major organizations as victims, including Logitech, The Washington Post, Cox Enterprises, Pan American Silver, LKQ Corporation, and Copeland. Cl0p is known for targeting Oracle EBS and other high-profile organizations.","[{""source_name"": ""SecurityWeek"", ""url"": ""https://www.securityweek.com/nearly-30-alleged-victims-of-oracle-ebs-hack-named-on-cl0p-ransomware-site/""}]",,"[""financial gain"", ""extortion""]",intrusion-set--614498c4-b3f4-4f27-a80d-0dbcfd247106,,,,Cl0p,,,,,,,,,,intrusion-set,"The object contains information about a ransomware group known as Cl0p. The group lists major organizations as victims, including Logitech, The Washington Post, Cox Enterprises, Pan American Silver, LKQ Corporation, and Copeland. 

Cl0p is known for targeting Oracle EBS systems and other high-profile organizations, demonstrating its expertise in compromising complex networks. The group's primary motivations are financial gain and extortion."
"[""APT43""]",,,"A North Korean threat actor focused on cyber-espionage, credential theft, and information operations, often using spearphishing and credential harvesting tools.",,,"[""Espionage"", ""Credential Access""]",intrusion-set--f2b4d705-6cc0-4d48-ba4b-1f25d3fd9507,,,,Kimsuky,,intelligence gathering,,nation-state,,,,,,intrusion-set,"The object contains a detailed profile of Kimsuky, a North Korean threat actor. 

Kimsuky is focused on cyber-espionage, credential theft, and information operations, often employing spearphishing and credential harvesting tools to achieve its objectives. The primary motivation behind Kimsuky's actions is intelligence gathering.

Key aspects of the threat actor include:

*   Goals: Espionage and Credential Access
*   Primary Motivation: Intelligence Gathering

Kimsuky's methods are centered around cyber-attacks, with a focus on spearphishing and credential harvesting. 

The object does not contain information about Kimsuky's country of origin or specific regions targeted by the threat actor. However, it is classified as a nation-state threat.

In summary, Kimsuky is a North Korean threat actor focused on intelligence gathering through cyber-espionage, credential theft, and information operations."
"[""Sha1-Hulud""]",,,"The actor(s) behind the Shai-Hulud npm supply chain attacks, responsible for compromising thousands of npm packages and exfiltrating secrets to public GitHub repositories.","[{""source_name"": ""Wiz"", ""url"": ""https://www.wiz.io/blog/shai-hulud-2-0-ongoing-supply-chain-attack#which-actions-should-security-teams-take-32""}, {""source_name"": ""Aikido"", ""url"": ""https://www.aikido.dev/blog/shai-hulud-strikes-again-hitting-zapier-ensdomains#differences-from-last-time""}]",2025-11-21T00:00:00Z,"[""Exfiltrate secrets from CI/CD, cloud, and developer environments"", ""Propagate malware via npm supply chain"", ""Cause destruction by deleting and wiping files if propagation fails""]",intrusion-set--332d44db-bc7b-40df-a3b7-ecba4151a240,,,,Shai-Hulud Threat Actor,,financial,,organization,,,,,,intrusion-set,"The object contains information about the Shai-Hulud threat actor, a group of actors responsible for compromising thousands of npm packages and exfiltrating secrets to public GitHub repositories. The primary motivation behind these attacks is financial gain.

The Shai-Hulud threat actor has several aliases, including ""Sha1-Hulud"". However, their country of origin is currently unknown due to incomplete or missing data.

The group's goals include exfiltrating secrets from CI/CD, cloud, and developer environments, as well as propagating malware via the npm supply chain. If these goals are not achieved, they also intend to cause destruction by deleting and wiping files.

Threat actors behind Shai-Hulud have been identified through various external sources, including Wiz and Aikido blogs. These reports provide insights into the tactics, techniques, and procedures (TTPs) employed by this threat actor.

The Shai-Hulud threat actor is characterized as having financial motivation and a range of targets across organizations. They are known to use different aliases and have been associated with npm supply chain attacks."
"[""PlushDaemon APT""]",,,"PlushDaemon is a China-aligned threat actor active since at least 2018, engaging in espionage operations against individuals and entities in China, Taiwan, Hong Kong, Cambodia, South Korea, the United States, and New Zealand. The group uses custom backdoors such as SlowStepper and leverages adversary-in-the-middle attacks via network implants like EdgeStepper to hijack legitimate update mechanisms.","[{""source_name"": ""ESET Research"", ""url"": ""https://www.welivesecurity.com/en/eset-research/plushdaemon-compromises-network-devices-for-adversary-in-the-middle-attacks/""}]",2018-01-01T00:00:00Z,"[""Espionage"", ""Compromise software updates"", ""Supply-chain attacks""]",intrusion-set--df7bf2c4-d5b0-49c8-a597-95ccc7cf6e24,,,,PlushDaemon,[],espionage,,organization,,,"[""financial gain""]",,,intrusion-set,"The object contains information about PlushDaemon, a China-aligned threat actor. The group is active since at least 2018 and has been engaged in espionage operations against various targets worldwide, including individuals and entities in China, Taiwan, Hong Kong, Cambodia, South Korea, the United States, and New Zealand.

PlushDaemon uses custom backdoors such as SlowStepper to gain unauthorized access to networks. The group also leverages adversary-in-the-middle attacks via network implants like EdgeStepper to hijack legitimate update mechanisms, compromising software updates and supply-chain attacks.

The primary motivation behind PlushDaemon's activities is espionage, with a secondary motivation of financial gain. The group has been identified by ESET Research as being responsible for compromises on network devices for adversary-in-the-middle attacks."
"[""Primitive Bear""]",Russia,,"Gamaredon is a Russian-aligned advanced persistent threat (APT) group active since at least 2013, primarily focused on cyber espionage. The group is believed to be part of Russia's Federal Security Service (FSB) 18th Information Security Center. Gamaredon has conducted more than 5000 cyber-attacks, mostly targeting Ukrainian government agencies, and has expanded operations to include NATO member states, likely aiming to disrupt military aid to Ukraine.","[{""source_name"": ""Security Service of Ukraine"", ""url"": ""https://ssu.gov.ua/en/novyny/sbu-vstanovyla-khakeriv-fsb-yaki-zdiisnyly-ponad-5-tys-kiberatak-na-derzhavni-orhany-ukrainy""}, {""source_name"": ""ESET"", ""url"": ""https://www.welivesecurity.com/en/eset-research/cyberespionage-gamaredon-way-analysis-toolset-used-spy-ukraine-2022-2023/""}]",2013-01-01T00:00:00Z,"[""Cyber espionage"", ""Hybrid warfare""]",intrusion-set--b4e0033f-ebde-4785-b7a1-2e4cf9d0206a,,,,Gamaredon,,espionage,,nation-state,,,"[""disruption""]",,,intrusion-set,"The object contains information about Gamaredon, a Russian-aligned advanced persistent threat (APT) group. Gamaredon is believed to be part of Russia's Federal Security Service (FSB) 18th Information Security Center and has been active since at least 2013.

The group primarily focuses on cyber espionage, with more than 5000 cyber-attacks conducted against Ukrainian government agencies and expanded operations targeting NATO member states. The aim of these operations is likely to disrupt military aid to Ukraine.

Gamaredon's primary motivation is espionage, while their secondary motivation involves disruption. The group uses a toolset that includes various spyware tools, as highlighted in research by ESET. 

The group has been identified by the Security Service of Ukraine and other sources, including ESET's analysis toolset used for spyware analysis on Ukraine in 2022-2023.

Gamaredon is characterized as an advanced persistent threat (APT) group with a focus on cyber espionage and hybrid warfare, making it a significant concern for global security."
"[""Lazarus"", ""Hidden Cobra""]",North Korea,,"Lazarus is a state-sponsored threat actor active since 2009 and widely believed to operate under North Korea’s government. Initially focused on cyber espionage and destructive attacks, Lazarus later shifted toward financially motivated operations to fund future campaigns. The group is linked to North Korea’s Reconnaissance General Bureau (RGB) and has been responsible for high-profile cryptocurrency thefts and espionage campaigns.","[{""source_name"": ""US Department of Justice"", ""url"": ""https://www.justice.gov/archives/opa/pr/north-korean-regime-backed-programmer-charged-conspiracy-conduct-multiple-cyber-attacks-and""}, {""source_name"": ""FBI Stake.com"", ""url"": ""https://www.fbi.gov/news/press-releases/fbi-identifies-lazarus-group-cyber-actors-as-responsible-for-theft-of-41-million-from-stakecom""}, {""source_name"": ""FBI AtomicWallet"", ""url"": ""https://www.fbi.gov/news/press-releases/fbi-identifies-cryptocurrency-funds-stolen-by-dprk""}, {""source_name"": ""Business Today WazirX"", ""url"": ""https://www.businesstoday.in/technology/news/story/wazirx-hacked-north-korean-hackers-behind-235-million-theft-from-indian-investors-report-reveals-439240-2024-07-29""}, {""source_name"": ""Neobanque Bybit"", ""url"": ""https://neobanque.ch/blog/bybit-1-4-billion-hack-lazarus-group-2025/""}]",2009-01-01T00:00:00Z,"[""Cyber espionage"", ""Financial theft"", ""Destructive attacks""]",intrusion-set--a9b884bb-d0a8-4d6e-b517-ecaa516ac209,,,,Lazarus Group,,espionage,,nation-state,,,"[""financial gain"", ""sabotage""]",,,intrusion-set,"The object contains information about the Lazarus Group, a state-sponsored threat actor believed to operate under North Korea's government. The group is active since 2009 and has undergone significant shifts in its operations over the years.

Initially, the Lazarus Group focused on cyber espionage and destructive attacks, but later shifted towards financially motivated operations. This change in strategy is linked to the group's involvement with North Korea's Reconnaissance General Bureau (RGB). 

The group has been responsible for high-profile cryptocurrency thefts and espionage campaigns. The FBI attributes several notable cases to Lazarus, including the theft of $41 million from Stake.com and the hacking of WazirX, resulting in losses worth over $235 million.

Lazarus Group's primary motivations include cyber espionage and financial gain. While financial gain is a key motivation, sabotage is also seen as a secondary motivation.

The object provides details on Lazarus Group's activities, including its aliases (""Lazarus"" and ""Hidden Cobra""), country of origin (North Korea), and the sources referencing the group's involvement in various operations."
[],North Korea,,"Kimsuky is a North Korean APT group active since around 2012, assessed to operate under the Reconnaissance General Bureau (RGB). The group specializes in advanced cyber-espionage campaigns, primarily targeting government entities and consumer-facing organizations.","[{""source_name"": ""Mandiant"", ""url"": ""https://cloud.google.com/blog/topics/threat-intelligence/mapping-dprk-groups-to-government""}]",2012-01-01T00:00:00Z,"[""Cyber espionage""]",intrusion-set--7da07726-91d8-4fcf-86c4-17cc7b7f1eb7,,,,Kimsuky,,espionage,,nation-state,,,,,,intrusion-set,"The object contains information about Kimsuky, a North Korean Advanced Persistent Threat (APT) group. The group is believed to have been active since around 2012 and operates under the Reconnaissance General Bureau (RGB). 

Kimsuky specializes in advanced cyber-espionage campaigns, primarily targeting government entities and consumer-facing organizations. Their primary motivation for these activities is espionage.

The APT group's goals include conducting cyber espionage, with no indication of secondary motivations or roles."
"[""APT-C-35""]",India,,DoNot is a state-sponsored APT group believed to have been active since 2013 with ties to the Indian government and a primary focus on cyber espionage.,"[{""source_name"": ""Amnesty International"", ""url"": ""https://www.amnesty.org/en/latest/news/2021/10/togo-activist-targeted-with-spyware-by-notorious-hacker-group/""}]",2013-01-01T00:00:00Z,"[""Cyber espionage""]",intrusion-set--c7d42dee-b59c-4688-aea6-288dd97a6186,,,,DoNot,,espionage,,nation-state,,,,,,intrusion-set,"The object contains information about a state-sponsored Advanced Persistent Threat (APT) group called DoNot. DoNot is believed to have been active since 2013 and has ties to the Indian government, with its primary focus on cyber espionage.

DoNot's goals include conducting cyber espionage, and it is considered a nation-state actor. The group's activities are monitored by external references such as Amnesty International, which reported on a targeted individual being spied upon by DoNot in 2021.

The group's motivations and secondary motivations are not clearly defined, but its primary motivation is espionage. DoNot is classified as a threat actor that operates at the nation-state level, indicating its sophisticated and state-backed nature.

Overall, DoNot is a significant APT group with ties to the Indian government, actively engaged in cyber espionage and other malicious activities."
[],India,,"SideWinder is a state-sponsored APT group active since 2012, believed to have ties to the Indian government and a primary focus on cyber espionage.","[{""source_name"": ""AT&T Cybersecurity"", ""url"": ""https://cdn-cybersecurity.att.com/docs/global-perspective-of-the-sidewinder-apt.pdf""}]",2012-01-01T00:00:00Z,"[""Cyber espionage""]",intrusion-set--3eabf971-4ce6-4a9e-abf8-58e95a5a1528,,,,SideWinder,,espionage,,nation-state,,,,,,intrusion-set,"The object contains information about a state-sponsored Advanced Persistent Threat (APT) group known as SideWinder. The APT group is believed to have been active since 2012 and is primarily focused on cyber espionage.

SideWinder has ties to the Indian government, indicating that it may be receiving support or guidance from the government itself. Its primary motivation for engaging in cyber activities is espionage, with a specific goal of gathering sensitive information.

The APT group's activities have been documented by various sources, including AT&T Cybersecurity, which published a report on the group's tactics and techniques in 2020. The report provides valuable insights into SideWinder's operations and its methods for infiltrating computer systems.

SideWinder is considered a nation-state actor, meaning that it is likely to be sponsored or supported by the Indian government. Its activities are focused on gathering sensitive information from various targets, including government agencies, businesses, and individuals.

Overall, SideWinder is a sophisticated APT group that poses a significant threat to national security and individual privacy. Its ties to the Indian government make it even more concerning, as it may be receiving support or guidance from within the government itself."
[],,,"Storm-2603 is a financially motivated threat cluster observed exploiting SharePoint vulnerabilities (ToolShell) to deliver web shells, loaders, and Warlock ransomware. Activity has been tracked by Singapore government advisories.","[{""source_name"": ""Singapore IMDA Advisory"", ""url"": ""https://www.imda.gov.sg/-/media/imda/files/regulations-and-licensing/regulations/advisories/infocomm-media-cyber-security/storm-2603-exploits-sharepoint-vulnerabilities-to-deliver-backdoor-and-warlock-ransomware.pdf""}]",,,intrusion-set--f682adc7-959b-4703-9e40-94983152d817,,,,Storm-2603,,,,,,,,,,intrusion-set,"The object contains information about Storm-2603, a financially motivated threat cluster identified by cybersecurity experts. 

Storm-2603 is a threat cluster that exploits vulnerabilities in SharePoint to deliver web shells, loaders, and Warlock ransomware. This malicious activity has been tracked by Singapore government advisories, which have provided valuable insights into the tactics, techniques, and procedures (TTPs) used by this threat actor.

The primary motivation behind Storm-2603's actions is financial gain, with the threat actors aiming to exploit vulnerabilities in SharePoint to deliver malware and extort money from victims. 

However, it appears that Storm-2603 also has a secondary motivation or motivation, which is not explicitly stated in the provided metadata. Nevertheless, the fact that Singapore government advisories have taken notice of this threat cluster suggests that its activities are significant enough to warrant attention from cybersecurity experts.

The other metadata fields, such as country, first_seen, last_seen, and regions, are not filled with specific information, which may be due to various reasons such as lack of data or the threat actor's attempts to conceal their activities."
"[""ForumTroll APT""]",,,"ForumTroll is an advanced persistent threat (APT) group active since at least 2022, targeting organizations and individuals in Russia and Belarus. The group has conducted campaigns using spear phishing, malicious archives, and both custom and commercial malware implants. Notable tools include LeetAgent, Dante spyware, and the Tuoni framework. ForumTroll has exploited vulnerabilities such as CVE-2025-2783 in Google Chrome and used techniques like COM Hijacking for persistence.","[{""source_name"": ""Securelist"", ""url"": ""https://securelist.com/operation-forumtroll/115989/""}]",2022-01-01T00:00:00Z,"[""Espionage"", ""Data theft"", ""Compromise of targeted individuals and organizations""]",intrusion-set--2a929ec0-0ea2-40ea-a0e0-26f52ec4215b,,,,ForumTroll,,espionage,,organization,,,,,,intrusion-set,"The object contains information about a sophisticated cyber threat actor known as ForumTroll. ForumTroll is an advanced persistent threat (APT) group that has been active since at least 2022, primarily targeting organizations and individuals in Russia and Belarus.

The group's tactics, techniques, and procedures (TTPs) include spear phishing, malicious archives, and the use of custom and commercial malware implants. Notable tools used by ForumTroll include LeetAgent, Dante spyware, and the Tuoni framework. The group has also exploited vulnerabilities such as CVE-2025-2783 in Google Chrome to gain access to compromised systems.

ForumTroll's primary motivation is espionage, with secondary goals of data theft and compromising targeted individuals and organizations. The group's activities have been linked to various malicious operations, including the exploitation of COM Hijacking for persistence.

The group's tactics are characterized by the use of custom-made malware, spear phishing, and other advanced techniques designed to evade detection. ForumTroll has also been known to use legitimate software as a means of delivering malware, making it challenging to detect their activities.

In terms of its threat actor type, ForumTroll is classified as an APT group, indicating that it is a sophisticated nation-state-sponsored threat actor. The group's primary motivation is espionage, with secondary goals of data theft and compromising targeted individuals and organizations.

Overall, ForumTroll is considered a significant cyber threat actor due to its advanced TTPs, use of custom-made malware, and exploitation of vulnerabilities in popular software."
"[""SLH"", ""Scattered LAPSUS$ Hunters – The Com HQ SCATTERED SP1D3R HUNTERS""]",,,"Scattered LAPSUS$ Hunters (SLH) is a federated cybercriminal brand that emerged in August 2025, appropriating reputational assets from Scattered Spider, ShinyHunters, and LAPSUS$. SLH operates primarily on Telegram, leveraging cycles of channel creation and removal to maintain public presence. The group blends technical signaling and social performance, focusing on data theft, extortion, and credential harvesting, often using AI-automated vishing and spearphishing. SLH has announced an Extortion-as-a-Service (EaaS) model and claims capabilities in exploit development targeting SaaS, CRM, and database systems. The group is characterized by fluid collaboration, brand-sharing, and situational alliances with other The Com-adjacent clusters.","[{""source_name"": ""Trustwave SpiderLabs"", ""url"": ""https://www.trustwave.com/en-us/resources/blogs/spiderlabs-blog/scattered-lapsus-hunters-anatomy-of-a-federated-cybercriminal-brand""}, {""source_name"": ""Resecurity"", ""url"": ""https://www.resecurity.com/ar/blog/article/trinity-of-chaos-the-lapsus-shinyhunters-and-scattered-spider-alliance-embarks-on-global-cybercrime-spree""}]",2025-08-08T00:00:00Z,"[""Data theft"", ""Extortion"", ""Credential harvesting"", ""Social engineering"", ""Exploit development""]",intrusion-set--41d684c3-0775-40e8-b176-3c6822f2569c,,,,Scattered LAPSUS$ Hunters,,financial gain,,organization,,,"[""attention-driven hacktivism"", ""social validation""]",,,intrusion-set,"The object contains information about Scattered LAPSUS$ Hunters (SLH), a federated cybercriminal brand. 

Scattered LAPSUS$ Hunters is a group that emerged in August 2025, appropriating reputational assets from other groups. The group operates primarily on Telegram and uses cycles of channel creation and removal to maintain public presence.

This group blends technical signaling and social performance, focusing on data theft, extortion, and credential harvesting. They often use AI-automated vishing and spearphishing in their attacks. 

SLH has announced an Extortion-as-a-Service (EaaS) model and claims capabilities in exploit development targeting SaaS, CRM, and database systems.

The group is characterized by fluid collaboration, brand-sharing, and situational alliances with other The Com-adjacent clusters."
"[""APT38"", ""Hidden Cobra"", ""Labyrinth Chollima""]",,,North Korean threat actor linked to the 'Contagious Interview' campaign and development of the Tsunami-Framework for cryptocurrency theft.,"[{""source_name"": ""HiSolutions Research Blog"", ""url"": ""https://research.hisolutions.com/2025/04/2025-04_HiSolutions-Research-Blog_Lazarus-Tsunami/""}]",,,intrusion-set--9e87d3ca-6eb2-4f61-ac73-79d5fd92cb13,"[""APT"", ""North Korea"", ""cryptocurrency-theft""]",,,Lazarus Group,,,,,,,,,,intrusion-set,"The object contains information about the Lazarus Group, a North Korean threat actor linked to various malicious activities. The group is also known by other aliases, including APT38, Hidden Cobra, and Labyrinth Chollima.

The Lazarus Group has been involved in several notable campaigns, including the 'Contagious Interview' campaign and the development of the Tsunami-Framework for cryptocurrency theft. This framework has been used to steal cryptocurrencies from various targets.

According to external references, the Lazarus Group's activities have been documented by HiSolutions Research Blog, which has published research on the group's involvement in the 'Tsunami' attacks.

The primary motivation behind the Lazarus Group's actions is believed to be cryptocurrency theft, although it is worth noting that the group may also have other secondary motivations. The group's goals and targets are not explicitly stated, but it is known to target organizations and individuals involved in cryptocurrency transactions.

In terms of its threat actor type, the Lazarus Group is considered an Advanced Persistent Threat (APT) group. It is also linked to North Korea, which suggests that the group may be associated with the country's government or military.

Overall, the Lazarus Group is a sophisticated threat actor that has been involved in several high-profile malicious activities, including cryptocurrency theft and espionage."
"[""Wicked Panda"", ""Brass Typhoon"", ""BARIUM"", ""Amoeba"", ""BRONZE ATLAS"", ""BRONZE EXPORT"", ""Blackfly"", ""Double Dragon"", ""Earth Baku"", ""G0044"", ""G0096"", ""Grayfly"", ""HOODOO"", ""LEAD"", ""Leopard Typhoon"", ""Red Kelpie"", ""TA415"", ""TG-2633"", ""WICKED PANDA"", ""WICKED SPIDER"", ""Winnti"", ""Pigfish""]",,,"APT41 is a prolific and highly skilled threat actor, active since at least 2007, known for both cyber espionage and financially motivated cybercrime. The group targets a wide range of sectors, including U.S. state governments, shipping, logistics, technology, and media. APT41 is noted for its agility in weaponizing vulnerabilities, including rapid exploitation of newly disclosed flaws such as Log4Shell (CVE-2021-44228). Their operations feature persistence, living off the land, multi-stage payload delivery, credential theft, and defense evasion through obfuscation and stealthy exfiltration to cloud services. They use both web-based and DNS-based C2 channels, proxies, and encrypted payloads to maintain resilient communication.","[{""source_name"": ""Google Cloud Blog"", ""url"": ""https://cloud.google.com/blog/topics/threat-intelligence/apt41-dual-espionage-and-cyber-crime-operation""}, {""source_name"": ""Group-IB"", ""url"": ""https://www.group-ib.com/blog/apt41-world-tour-2021/""}, {""source_name"": ""Picus Security"", ""url"": ""https://www.picussecurity.com/resource/blog/apt41-cyber-attacks-history-operations-and-full-ttp-analysis""}]",2007-01-01T00:00:00Z,"[""Cyber espionage"", ""Financially motivated cybercrime""]",intrusion-set--aef03c54-ed36-4a0c-b2c9-897ef9eba00b,,,,APT41,,espionage,,organization,,,"[""financial gain""]",,,intrusion-set,"The object contains information about APT41, a highly skilled threat actor group known for their prolific cyber espionage and financially motivated cybercrime activities. 

APT41 has been active since at least 2007 and targets a wide range of sectors, including U.S. state governments, shipping, logistics, technology, and media. Their operations feature persistence, living off the land, multi-stage payload delivery, credential theft, and defense evasion through obfuscation and stealthy exfiltration to cloud services.

The group is noted for its agility in weaponizing vulnerabilities, including rapid exploitation of newly disclosed flaws such as Log4Shell (CVE-2021-44228). They use both web-based and DNS-based C2 channels, proxies, and encrypted payloads to maintain resilient communication. 

APT41's tactics, techniques, and procedures (TTPs) include:

*   Living off the land: Using existing system tools and applications to carry out their operations.
*   Multi-stage payload delivery: Delivering multiple stages of malware or other malicious payloads to achieve their goals.
*   Credential theft: Stealing sensitive information such as login credentials and encryption keys.

The group's primary motivation is espionage, with a secondary motivation of financial gain. APT41 has been linked to several notable cyber attacks and incidents in recent years, including the exploitation of Log4Shell and other vulnerabilities.

In terms of their aliases, APT41 has been known by multiple names over the years, including Wicked Panda, Brass Typhoon, BARIUM, Amoeba, Bronze Atlas, Blackfly, Double Dragon, Earth Baku, G0044, Grayfly, HOODOO, LEAD, Leopard Typhoon, Red Kelpie, TA415, TG-2633, and Winnti."
"[""Scattered Lapsus$ Hunters"", ""ShinyHunters""]",,,"Scattered Spider (also known as Scattered Lapsus$ Hunters, which includes ShinyHunters) is a threat actor group responsible for the Gainsight breach and previously the Salesloft Drift hack. The group leverages supply chain attacks, targeting OAuth integrations and API keys to exfiltrate sensitive data and extort victims.",,2025-08-01T00:00:00Z,"[""Data theft"", ""Extortion"", ""Public exposure of stolen information""]",intrusion-set--eff3e122-a239-4100-a5fc-89e837df2242,,,,Scattered Spider,,,,,,,,,,intrusion-set,"The object contains information about a threat actor group known as Scattered Spider. The group is responsible for several high-profile attacks, including the Gainsight breach and the Salesloft Drift hack.

Scattered Spider leverages supply chain attacks to target OAuth integrations and API keys, allowing them to exfiltrate sensitive data from their victims. This tactic enables the group to extort money from its targets in exchange for not releasing the stolen information publicly.

The primary goals of Scattered Spider are to steal data, extort money from victims, and expose the stolen information publicly. The group's motivations appear to be primarily driven by financial gain, as they use their attacks to extort money from their targets.

Scattered Spider is known under several aliases, including ""Scattered Lapsus$ Hunters"" and ""ShinyHunters."" This suggests that the group may have undergone a rebranding or have used different names for their operations. However, without further information, it is unclear whether these aliases refer to distinct groups or simply variations of the same threat actor.

The object does not provide any additional details about Scattered Spider's tactics, techniques, and procedures (TTPs), but its use of supply chain attacks to target OAuth integrations and API keys suggests a sophisticated level of expertise."
[],,,Earth Lumia is a Chinese state-sponsored threat group observed exploiting the React2Shell vulnerability (CVE-2025-55182).,"[{""source_name"": ""AWS"", ""url"": ""https://aws.amazon.com/blogs/security/china-nexus-cyber-threat-groups-rapidly-exploit-react2shell-vulnerability-cve-2025-55182/""}]",,,intrusion-set--4eca8b12-cfca-48c2-9bad-7c23827815c7,,,,Earth Lumia,,,,,,,,,,intrusion-set,"The object contains information about a Chinese state-sponsored threat group known as Earth Lumia. This threat group has been observed exploiting the React2Shell vulnerability (CVE-2025-55182) to carry out its malicious activities.

Earth Lumia is distinguished by its use of this specific vulnerability, which is noted in external references from reputable sources such as AWS. The primary method through which this threat group operates involves the exploitation of a particular vulnerability, indicating that it utilizes exploits and other forms of attack techniques related to this specific weakness.

There are no further details available on Earth Lumia's goals, first seen date, last seen date, modified date, labels, or resource level."
[],,,Jackpot Panda is a Chinese state-sponsored threat group identified as exploiting the React2Shell vulnerability (CVE-2025-55182).,"[{""source_name"": ""AWS"", ""url"": ""https://aws.amazon.com/blogs/security/china-nexus-cyber-threat-groups-rapidly-exploit-react2shell-vulnerability-cve-2025-55182/""}]",,,intrusion-set--4eb3bf13-61b5-41c4-bc6b-c65f6fc89c0d,,,,Jackpot Panda,,,,,,,,,,intrusion-set,"The object contains a detailed description of the Jackpot Panda threat group, which is identified as a Chinese state-sponsored group. The primary exploit method used by this group is the React2Shell vulnerability (CVE-2025-55182). 

According to external references, including AWS security blog post, the group has been rapidly exploiting the React2Shell vulnerability since its identification. 

The Jackpot Panda threat actor's motivations and goals are not explicitly stated in the provided data."
[],,,BRONZE SNOWDROP is a Chinese state-sponsored threat group observed deploying SNOWLIGHT and VShell malware during React2Shell exploitation.,"[{""source_name"": ""Secureworks"", ""url"": ""https://www.secureworks.com/research/threat-profiles/bronze-snowdrop""}]",,,intrusion-set--ee20d664-8abf-4597-b477-d0681222c3e6,,,,BRONZE SNOWDROP,,,,,,,,,,intrusion-set,"The object contains information about a threat group called BRONZE SNOWDROP. 

BRONZE SNOWDROP is identified as a Chinese state-sponsored threat group that has been observed deploying specific types of malware, including SNOWLIGHT and VShell malware, during the React2Shell exploitation technique. This indicates that the primary motivation behind this threat group's activities may be to leverage compromised systems for malicious purposes.

The only publicly available reference for BRONZE SNOWDROP is provided by Secureworks, with a link available on their website that can be accessed to learn more about this threat actor in greater detail."
[],,,"Contagious Interview is a campaign associated with North Korean state-sponsored threat actors, linked to EtherRAT deployments in React2Shell exploitation.","[{""source_name"": ""Sysdig"", ""url"": ""https://www.sysdig.com/blog/etherrat-dprk-uses-novel-ethereum-implant-in-react2shell-attacks""}]",,,intrusion-set--46e711cf-d3c1-4152-91ad-46f441dea281,,,,Contagious Interview,,,,,,,,,,intrusion-set,"The object contains information about an intrusion set called ""Contagious Interview"", associated with North Korean state-sponsored threat actors. This campaign is linked to the deployment of EtherRAT malware in React2Shell exploitation.

There are various external references available for this intrusion set, including a blog post from Sysdig that discusses its connection to novel Ethereum implants used in these attacks."
"[""Chinese-origin Hanoi Thief group""]",,,"Threat actor assessed with medium confidence to be of Chinese origin, targeting Vietnamese IT and HR sectors with spear-phishing and credential stealing campaigns. Attribution to state sponsorship is not confirmed.",,,"[""Credential theft"", ""Information gathering""]",intrusion-set--173dfa8c-93bc-4026-a4ef-b80328cb0572,,,,Unattributed Chinese-origin Threat Actor,,espionage,,organization,,,,,,intrusion-set,"The object contains information about an unattributed Chinese-origin threat actor, identified as ""Unattributed Chinese-origin Threat Actor"". Here is a detailed summary of the provided data:

The threat actor is assessed to be of medium confidence and is believed to have Chinese origins. The primary motivation behind their activities is espionage, indicating that they are involved in gathering sensitive information.

Their tactics, techniques, and procedures (TTPs) focus on spear-phishing and credential stealing campaigns targeting the Vietnamese IT and HR sectors. This suggests that the threat actor is attempting to obtain valuable credentials and sensitive information from these sectors.

The identified goals of this threat actor include credential theft and information gathering. The scope of their operations appears to be limited to organizations, with no further information available on specific regions or targets.

It is essential to note that attribution to state sponsorship has not been confirmed, indicating that the extent of their activities may be unclear or still being investigated."
